,Date,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,7/1/18,4209,211,120484,274813,45265
1,7/2/18,2702,241,130122,275016,58633
2,7/3/18,2358,199,113998,275157,54882
3,7/4/18,5662,250,136287,275304,48368
4,7/5/18,3344,264,133659,275487,59471
5,7/6/18,2650,189,111660,275614,49504
6,7/7/18,7284,349,173852,275793,60916
7,7/8/18,6667,310,171826,275988,60486
8,7/9/18,3103,283,153650,276203,70063
9,7/10/18,2999,227,147441,276399,72501
10,7/11/18,3049,170,163349,276553,73011
11,7/12/18,3520,231,161182,276703,74857
12,7/13/18,3998,294,156285,276858,72113
13,7/14/18,7241,334,157266,277000,62556
14,7/15/18,5121,248,132234,277133,52295
15,7/16/18,3101,278,146307,277344,67072
16,7/17/18,1558,129,97913,277466,48495
17,7/18/18,3578,247,169481,277703,75706
18,7/19/18,3938,280,141327,277891,78004
19,7/20/18,4590,275,136511,278052,74539
20,7/21/18,6266,309,114977,278195,53651
21,7/22/18,4316,244,87253,278338,44284
22,7/23/18,2277,152,88170,278458,53074
23,7/24/18,2957,162,117924,278651,69754
24,7/25/18,1474,124,66587,278742,42988
25,7/26/18,3321,252,122885,278874,71065
26,7/27/18,2526,251,82987,278993,49224
27,7/28/18,7004,361,129505,279147,61543
28,7/29/18,7244,250,137343,279321,63472
29,7/30/18,3490,333,123639,279509,69512
30,7/31/18,3637,246,134233,279702,76253
31,8/1/18,2673,185,106881,279888,64467
32,8/2/18,2998,217,118282,280110,69711
33,8/3/18,3145,247,105765,280279,61962
34,8/4/18,5352,198,104541,280498,51200
35,8/5/18,6289,309,122656,280721,58379
36,8/6/18,3022,281,112585,280922,65686
37,8/7/18,2640,201,106678,281097,64351
38,8/8/18,2911,267,120473,281275,70577
39,8/9/18,3379,238,124150,281441,71976
40,8/10/18,4266,280,123534,281572,69617
41,8/11/18,2994,141,69505,281689,36607
42,8/12/18,6407,281,125265,281881,59834
43,8/13/18,1563,82,70501,281991,44273
44,8/14/18,2592,211,107144,282169,63733
45,8/15/18,3565,266,128453,282317,73124
46,8/16/18,3511,276,123444,282471,70825
47,8/17/18,3563,232,109405,282583,63316
48,8/18/18,6672,351,125508,282795,57284
49,8/19/18,3926,155,86651,282943,45874
50,8/20/18,3312,224,118793,283162,67589
51,8/21/18,3683,257,132261,283358,75214
52,8/22/18,3366,225,125978,283543,72614
53,8/23/18,3975,331,130310,283720,73877
54,8/24/18,4794,320,132952,283884,72894
55,8/25/18,7535,345,140537,284066,64683
56,8/26/18,6928,302,132223,284268,60954
57,8/27/18,3350,242,116967,284457,67630
58,8/28/18,2814,150,110486,284667,66638
59,8/29/18,2766,171,107006,284791,65903
60,8/30/18,3218,164,113385,284938,67900
61,8/31/18,3186,180,97818,285087,58922
62,9/1/18,6711,439,116904,285245,54318
63,9/2/18,5562,292,140923,285368,60828
64,9/3/18,6239,279,117164,285609,55067
65,9/4/18,2793,215,114264,285867,68655
66,9/5/18,2934,191,124919,286102,74981
67,9/6/18,2678,207,113123,286304,70264
68,9/7/18,3523,227,127470,286475,74586
69,9/8/18,5442,270,111254,286637,58284
70,9/9/18,895,16,30544,286752,19950
71,9/10/18,463,26,32472,286847,23949
72,9/11/18,2456,193,109380,286985,66552
73,9/12/18,1650,115,82748,287120,53241
74,9/13/18,2874,197,123401,287262,74054
75,9/14/18,3623,298,128288,287412,74330
76,9/15/18,7570,353,149524,287622,71185
77,9/16/18,7410,270,150281,287897,69515
78,9/17/18,2914,162,118809,288137,71340
79,9/18/18,1433,74,82768,288266,53077
80,9/19/18,3529,290,129089,288450,74372
81,9/20/18,3130,235,129385,288599,76803
82,9/21/18,3677,224,128273,288719,74940
83,9/22/18,7511,298,142121,289160,69133
84,9/23/18,4716,184,104944,289370,55494
85,9/24/18,2615,289,115888,289524,71631
86,9/25/18,506,65,35795,289591,25430
87,9/26/18,2423,296,110772,289698,68007
88,9/27/18,3044,399,126480,289829,75370
89,9/28/18,1986,296,90249,289911,57230
90,9/29/18,6960,906,145920,290170,69321
91,9/30/18,6367,675,139423,290467,66224
0,10/1/18,2618,307,120257,290631,71387
1,10/2/18,2666,195,122234,290788,73113
2,10/3/18,3141,199,129720,290947,76769
3,10/4/18,2838,222,116337,291073,70698
4,10/5/18,3979,254,129597,291166,74744
5,10/6/18,5658,310,110421,291298,57599
6,10/7/18,6936,277,127033,291425,60753
7,10/8/18,2865,121,95097,291549,58256
8,10/9/18,2846,207,123973,291672,74251
9,10/10/18,3115,202,132255,291765,77317
10,10/11/18,1323,59,70173,291862,46862
11,10/12/18,3453,255,113055,291962,67686
12,10/13/18,2430,125,100652,292029,54747
13,10/14/18,4805,204,103697,292158,54297
14,10/15/18,1958,95,92219,292262,59181
15,10/16/18,2200,158,104171,292370,66661
16,10/17/18,2341,134,107762,292469,67868
17,10/18/18,1969,143,94356,292519,61668
18,10/19/18,3012,192,105730,292604,64735
19,10/20/18,5644,309,109142,292711,56281
20,10/21/18,2488,100,64764,292811,39192
21,10/22/18,1721,133,88293,292899,57919
22,10/23/18,2356,181,110293,292992,68086
23,10/24/18,1942,97,98615,293077,64203
24,10/25/18,2003,146,95827,293309,61637
25,10/26/18,2292,131,92569,293508,59861
26,10/27/18,333,11,17949,293542,13124
27,10/28/18,3134,154,74540,293611,42502
28,10/29/18,1853,156,92882,293722,60028
29,10/30/18,1957,141,102834,293819,65545
30,10/31/18,2544,225,114039,294007,68447
31,11/1/18,3288,245,128502,294111,74260
32,11/2/18,2817,237,105906,294186,63746
33,11/3/18,4200,199,89639,294256,49127
34,11/4/18,5107,99,98021,294329,50713
35,11/5/18,776,31,47328,294396,33345
36,11/6/18,1186,29,56313,294442,40271
37,11/7/18,2590,189,112354,294527,67925
38,11/8/18,2191,146,103621,294595,64441
39,11/9/18,1064,63,54282,294647,36952
40,11/10/18,2649,132,63740,294689,37809
41,11/11/18,2763,78,64197,294744,36612
42,11/12/18,1707,79,79338,294792,51341
43,11/13/18,751,27,52453,294838,36957
44,11/14/18,935,30,70932,294882,49621
45,11/15/18,407,24,35594,294900,24948
46,11/16/18,761,48,49576,294915,34447
47,11/17/18,2257,56,61206,294951,37974
48,11/18/18,1916,45,55093,294988,34390
49,11/19/18,1522,84,83935,295037,54540
50,11/20/18,1259,37,75746,295070,51910
51,11/21/18,1050,39,58441,295112,40417
52,11/22/18,369,20,12626,295200,8798
53,11/23/18,597,26,23143,295439,16107
54,11/24/18,1137,41,32011,295530,20087
55,11/25/18,2521,36,60831,295688,34519
56,11/26/18,499,18,42333,296251,29189
57,11/27/18,802,31,74556,296351,49979
58,11/28/18,777,29,69352,296405,48433
59,11/29/18,1054,51,76715,296452,51468
60,11/30/18,1065,47,67098,296497,46001
61,12/1/18,2256,37,62304,296553,37989
62,12/2/18,554,11,26501,296584,18418
63,12/3/18,1308,62,85524,296664,53974
64,12/4/18,867,27,71843,296708,49058
65,12/5/18,814,38,67536,296753,46779
66,12/6/18,910,40,66885,296798,46543
67,12/7/18,948,52,63353,296843,43841
68,12/8/18,1271,46,44552,296867,29909
69,12/9/18,1064,23,40886,296897,27547
70,12/10/18,762,25,62699,296938,43358
71,12/11/18,823,20,68321,296974,47335
72,12/12/18,748,28,68600,297005,47717
73,12/13/18,593,14,57295,297042,40736
74,12/14/18,1137,44,66633,297078,44775
75,12/15/18,1902,45,57244,297119,36423
76,12/16/18,203,4,13599,297131,9835
77,12/17/18,909,32,66449,297173,45382
78,12/18/18,656,22,58360,297205,41703
79,12/19/18,877,22,63165,297238,44096
80,12/20/18,751,20,48713,297269,34026
81,12/21/18,481,24,34450,297290,23996
82,12/22/18,1088,25,36653,297327,24870
83,12/23/18,1298,37,35921,297355,22230
84,12/24/18,681,18,27246,297387,18990
85,12/25/18,1080,38,21483,297426,11177
86,12/26/18,1118,49,39176,297487,25358
87,12/27/18,1510,51,48943,297527,31169
88,12/28/18,334,25,17576,297555,12039
89,12/29/18,2677,104,54116,297622,29037
90,12/30/18,1562,51,37741,297682,22536
91,12/31/18,962,31,29794,297748,18936
0,1/1/19,2429,49,44131,297823,22145
1,1/2/19,1062,36,58975,297908,38249
2,1/3/19,969,31,62500,297976,42181
3,1/4/19,1173,33,65739,298017,44420
4,1/5/19,462,8,24326,298048,17636
5,1/6/19,1711,31,50481,298094,31764
6,1/7/19,514,18,52310,298152,36928
7,1/8/19,654,23,60469,298218,41728
8,1/9/19,646,23,63480,298263,44882
9,1/10/19,478,13,53225,298299,39449
10,1/11/19,465,23,44226,298331,33196
11,1/12/19,772,26,35133,298361,25431
12,1/13/19,700,18,33018,298399,23020
13,1/14/19,402,9,48021,298439,35408
14,1/15/19,511,19,54751,298470,39538
15,1/16/19,513,7,56553,298510,40854
16,1/17/19,463,14,53430,298546,39417
17,1/18/19,542,27,47215,298574,34478
18,1/19/19,865,28,34580,298595,23933
19,1/20/19,368,8,19131,298616,14440
20,1/21/19,141,5,11911,298632,10392
21,1/22/19,315,14,37788,298665,28913
22,1/23/19,526,10,59442,298692,42028
23,1/24/19,260,7,27931,298721,20328
24,1/25/19,621,21,54567,298748,39298
25,1/26/19,933,18,38634,298778,26607
26,1/27/19,1510,19,48280,298828,30338
27,1/28/19,448,13,49109,298878,36173
28,1/29/19,341,12,42066,298919,31355
29,1/30/19,263,8,33178,298947,25496
30,1/31/19,186,8,22917,298975,18882
31,2/1/19,255,11,31752,298998,25289
32,2/2/19,627,19,30802,299032,22280
33,2/3/19,1743,24,52757,299103,32274
34,2/4/19,1180,42,73262,299172,47049
35,2/5/19,1770,42,87917,299249,54710
36,2/6/19,754,27,55696,299296,39616
37,2/7/19,765,22,62728,299341,43840
38,2/8/19,864,22,52442,299383,36964
39,2/9/19,811,10,33607,299409,24041
40,2/10/19,935,6,35873,299449,24434
41,2/11/19,563,20,54362,299493,39197
42,2/12/19,150,4,22190,299521,16044
43,2/13/19,439,21,48870,299551,35523
44,2/14/19,773,26,61381,299589,42313
45,2/15/19,1590,58,74286,299633,47524
46,2/16/19,2030,58,52760,299683,31347
47,2/17/19,1439,30,39660,299711,24287
48,2/18/19,810,17,37500,299757,26176
49,2/19/19,595,10,49024,299810,35226
50,2/20/19,221,15,28763,299835,20694
51,2/21/19,961,37,60375,299871,40082
52,2/22/19,1097,49,61956,299913,42338
53,2/23/19,1635,28,49887,299956,31956
54,2/24/19,992,19,37473,299993,24503
55,2/25/19,495,14,47207,300029,34736
56,2/26/19,524,23,52805,300067,38126
57,2/27/19,464,27,48666,300097,37028
58,2/28/19,652,30,53031,300157,38784
59,3/1/19,522,26,41583,300183,30242
60,3/2/19,570,25,27381,300213,18001
61,3/3/19,1115,22,35764,300264,23240
62,3/4/19,563,23,39154,300319,28424
63,3/5/19,552,24,50155,300367,37103
64,3/6/19,376,27,42845,300409,33287
65,3/7/19,468,15,46582,300450,35913
66,3/8/19,852,32,55748,300503,40416
67,3/9/19,3010,35,68739,300574,38929
68,3/10/19,662,16,28056,300611,18897
69,3/11/19,1749,56,80705,300691,52412
70,3/12/19,1003,40,66518,300757,47214
71,3/13/19,1194,42,71556,300825,50121
72,3/14/19,1826,82,86864,300904,57476
73,3/15/19,2843,119,95073,300987,57517
74,3/16/19,3369,97,74307,301086,42144
75,3/17/19,2755,73,64440,301187,36826
76,3/18/19,1361,54,68775,301278,46535
77,3/19/19,1602,49,78320,301381,52997
78,3/20/19,1723,58,83442,301476,55396
79,3/21/19,342,14,27005,301520,21248
80,3/22/19,1076,51,49691,301579,35477
81,3/23/19,2693,74,61407,301671,37379
82,3/24/19,5896,79,100843,301827,50318
83,3/25/19,1562,64,79824,301952,53463
84,3/26/19,1715,49,81425,302083,55421
85,3/27/19,1583,56,78975,302176,54483
86,3/28/19,1966,87,87465,302430,58538
87,3/29/19,2573,103,91975,302587,59324
88,3/30/19,9151,135,144759,302941,66672
89,3/31/19,1916,52,52486,303060,32768
0,4/1/19,1466,76,75072,303223,51399
1,4/2/19,1483,73,83399,303386,57903
2,4/3/19,3013,79,108780,303552,67924
3,4/4/19,2633,87,104268,303699,66403
4,4/5/19,812,46,46930,303766,34470
5,4/6/19,8852,139,143054,303958,66532
6,4/7/19,8191,87,138291,304216,64713
7,4/8/19,3804,89,123304,304525,70514
8,4/9/19,1684,79,86248,304677,59336
9,4/10/19,2845,116,112985,304865,70988
10,4/11/19,2222,93,93232,305003,62430
11,4/12/19,2811,118,92517,305134,58010
12,4/13/19,10443,128,159264,305362,71500
13,4/14/19,7263,119,123470,305584,58474
14,4/15/19,1816,75,71673,305722,45663
15,4/16/19,3197,134,106799,305906,63323
16,4/17/19,3276,89,109668,306077,65249
17,4/18/19,2845,104,98909,306205,61568
18,4/19/19,5782,271,120796,306365,64939
19,4/20/19,4049,115,68489,306453,36785
20,4/21/19,7439,140,114490,306647,51869
21,4/22/19,3426,69,71869,306827,44112
22,4/23/19,5928,202,143334,307082,75443
23,4/24/19,5868,135,144473,307320,77736
24,4/25/19,3569,114,101124,307484,60834
25,4/26/19,1387,76,55000,307578,37121
26,4/27/19,7022,151,111440,307737,56442
27,4/28/19,3338,87,68976,307862,41204
28,4/29/19,2829,104,98707,308020,60801
29,4/30/19,2715,94,99225,308192,62668
30,5/1/19,2285,106,93434,308383,60904
31,5/2/19,3763,171,115573,308575,68714
32,5/3/19,3452,151,100885,308738,62410
33,5/4/19,7286,110,114113,308919,56025
34,5/5/19,802,16,25232,308988,16169
35,5/6/19,4178,166,121887,309187,69920
36,5/7/19,4055,124,126637,309356,72829
37,5/8/19,4255,131,130821,309530,76398
38,5/9/19,2851,130,105721,309646,66689
39,5/10/19,4427,163,114830,309790,68044
40,5/11/19,10581,133,153674,310021,69788
41,5/12/19,475,9,15759,310063,10730
42,5/13/19,553,19,29434,310141,22300
43,5/14/19,1301,73,61756,310248,42783
44,5/15/19,4484,140,129217,310395,74314
45,5/16/19,5354,174,139278,310590,77889
46,5/17/19,5124,167,126992,310760,72118
47,5/18/19,11292,227,162302,310992,73143
48,5/19/19,10321,193,154638,311245,69920
49,5/20/19,5225,173,133696,311495,74494
50,5/21/19,5088,160,139284,311686,79261
51,5/22/19,5431,153,144186,311888,82021
52,5/23/19,3527,121,93244,312082,56578
53,5/24/19,7322,245,141169,312276,74866
54,5/25/19,10682,279,136772,312484,59492
55,5/26/19,9325,145,118192,312648,49950
56,5/27/19,12124,136,160750,312896,66595
57,5/28/19,2992,96,97330,313092,59435
58,5/29/19,2952,111,87647,313251,55098
59,5/30/19,2831,129,84325,313402,52484
60,5/31/19,7586,261,156832,313606,83347
61,6/1/19,12153,214,164956,313815,76416
62,6/2/19,10419,144,147247,314051,67288
63,6/3/19,6027,152,141960,314327,77678
64,6/4/19,6422,168,150076,314642,83301
65,6/5/19,5166,143,134998,314889,78791
66,6/6/19,6138,183,143619,315121,81323
67,6/7/19,7530,256,150312,315337,82908
68,6/8/19,13831,206,175352,315583,78074
69,6/9/19,12833,121,167597,315861,73954
70,6/10/19,1566,44,54769,316007,37019
